# ID_REF	IDENTIFIER	Gene title	Gene symbol	Gene ID	GenBank Accession
1729_at	TRADD	TNFRSF1A associated via death domain	TRADD	8717	L41690
172_at	INPP5D	inositol polyphosphate-5-phosphatase D	INPP5D	3635	U57650
1730_s_at	FGF4	fibroblast growth factor 4	FGF4	2249	M17446
1731_at	PDGFRA	platelet derived growth factor receptor alpha	PDGFRA	5156	M21574
1732_at	FGF5	fibroblast growth factor 5	FGF5	2250	M37825
1733_at	BMP6	bone morphogenetic protein 6	BMP6	654	M60315
1734_at	TGFB3	transforming growth factor beta 3	TGFB3	7043	M60556
1735_g_at	TGFB3	transforming growth factor beta 3	TGFB3	7043	M60556
1736_at	IGFBP6	insulin like growth factor binding protein 6	IGFBP6	3489	M62402
1737_s_at	IGFBP4	insulin like growth factor binding protein 4	IGFBP4	3487	M62403
1738_at	CDC25A	cell division cycle 25A	CDC25A	993	M81933
1739_at	FOLH1B	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	FOLH1B///FOLH1	219595///2346	M99487
173_at	CDH18	cadherin 18	CDH18	1016	U59325
1740_g_at	FOLH1B	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	FOLH1B///FOLH1	219595///2346	M99487
1741_s_at	IGFBP2	insulin like growth factor binding protein 2	IGFBP2	3485	AH003915
1742_at	ERBB3	erb-b2 receptor tyrosine kinase 3	ERBB3	2065	S61953
1743_s_at	SKIL	SKI-like proto-oncogene	SKIL	6498	
1744_at	TIGR: HG4433-HT4703				
1745_at	RET	ret proto-oncogene	RET	5979	
1746_s_at	TRAF2	TNF receptor associated factor 2	TRAF2	7186	
1747_at	DNASE2	deoxyribonuclease 2, lysosomal	DNASE2	1777	
1748_s_at	KLF1	Kruppel like factor 1	KLF1	10661	
1749_at	GCDH	glutaryl-CoA dehydrogenase	GCDH	2639	
174_s_at	ITSN2	intersectin 2	ITSN2	50618	U61167
1750_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	FARSA	2193	
1751_g_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	FARSA	2193	
1752_at	CALR	calreticulin	CALR	811	
1753_s_at	RAD23A	RAD23 homolog A, nucleotide excision repair protein	RAD23A	5886	
1754_at	DAXX	death domain associated protein	DAXX	1616	AF006041
1755_i_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	CYP3A4	1576	D00003
1756_f_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	CYP3A4	1576	D00003
1757_i_at	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7	CYP3A7-CYP3A51P///CYP3A7	100861540///1551	D00408
1758_r_at	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7	CYP3A7-CYP3A51P///CYP3A7	100861540///1551	D00408
1759_f_at	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7	CYP3A7-CYP3A51P///CYP3A7	100861540///1551	D00408
175_s_at	PKN1	protein kinase N1	PKN1	5585	U33053
1760_s_at	PTPN7	protein tyrosine phosphatase, non-receptor type 7	PTPN7	5778	D11327
1761_at	PDGFRL	platelet derived growth factor receptor like	PDGFRL	5157	D37965
1762_at	PMS2P4	PMS1 homolog 2, mismatch repair system component pseudogene 4	PMS2P4	5382	D38500
1763_at	PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 5	PMS2P5	5383	D38502
1764_s_at	MAZ	MYC associated zinc finger protein	MAZ	4150	D85131
1765_at	CASP10	caspase 10	CASP10	843	U86214
1766_g_at	CASP10	caspase 10	CASP10	843	U86214
1767_s_at	TGFB3	transforming growth factor beta 3	TGFB3	7043	X14885
1768_s_at	CSK	c-src tyrosine kinase	CSK	1445	X59932
1769_at	MAST1	microtubule associated serine/threonine kinase 1	MAST1	22983	
176_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	PPP2R5C	5527	U37352
1770_at	IFNA2	interferon alpha 2	IFNA2	3440	J00207
1771_s_at	PDGFRB	platelet derived growth factor receptor beta	PDGFRB	5159	J03278
1772_s_at	FNTA	farnesyltransferase, CAAX box, alpha	FNTA	2339	L00634
1773_at	CHURC1-FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta	CHURC1-FNTB///FNTB	100529261///2342	L00635
1774_at	MXD1	MAX dimerization protein 1	MXD1	4084	L06895
1775_at	POLA2	DNA polymerase alpha 2, accessory subunit	POLA2	23649	L24559
1776_at	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	RRAD	6236	L24564
1777_at	RIN1	Ras and Rab interactor 1	RIN1	9610	L36463
1778_g_at	RIN1	Ras and Rab interactor 1	RIN1	9610	L36463
1779_s_at	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	PIM1	5292	M16750
177_at	PLD1	phospholipase D1	PLD1	5337	U38545
1780_at	FGR	FGR proto-oncogene, Src family tyrosine kinase	FGR	2268	M19722
1781_at	ELK1	ELK1, ETS transcription factor	ELK1	2002	M25269
1782_s_at	STMN1	stathmin 1	STMN1	3925	M31303
1783_at	RIN2	Ras and Rab interactor 2	RIN2	54453	M37190
1784_s_at	ARID4A	AT-rich interaction domain 4A	ARID4A	5926	S66427
1785_at	KDM5A	lysine demethylase 5A	KDM5A	5927	S66431
1786_at	MERTK	MER proto-oncogene, tyrosine kinase	MERTK	10461	U08023
1787_at	CDKN1C	cyclin dependent kinase inhibitor 1C	CDKN1C	1028	U22398
1788_s_at	DUSP4	dual specificity phosphatase 4	DUSP4	1846	U48807
1789_at	COPS5	COP9 signalosome subunit 5	COPS5	10987	U65928
178_f_at	PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 1	PMS2P1	5379	U38964
1790_s_at	CDK10	cyclin dependent kinase 10	CDK10	8558	
1791_s_at	IFNA2	interferon alpha 2	IFNA2	3440	J00207
1792_g_at	CDK2	cyclin dependent kinase 2	CDK2	1017	M68520
1793_at	CDK13	cyclin dependent kinase 13	CDK13	8621	M80629
1794_at	CCND3	cyclin D3	CCND3	896	M92287
1795_g_at	CCND3	cyclin D3	CCND3	896	M92287
1796_s_at	MIR8085	microRNA 8085///B-cell CLL/lymphoma 3	MIR8085///BCL3	102465879///602	AH006679
1797_at	CDKN2D	cyclin dependent kinase inhibitor 2D	CDKN2D	1032	U40343
1798_at	SLC39A6	solute carrier family 39 member 6	SLC39A6	25800	U41060
1799_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	ERCC4	2072	U64315
179_at	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene	DTX2P1-UPK3BP1-PMS2P11	441263	U38980
1800_g_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	ERCC4	2072	U64315
1801_at	BARD1	BRCA1 associated RING domain 1	BARD1	580	U76638
1802_s_at	ERBB2	erb-b2 receptor tyrosine kinase 2	ERBB2	2064	X03363
1803_at	CDK1	cyclin dependent kinase 1	CDK1	983	X05360
1804_at	KLK3	kallikrein related peptidase 3	KLK3	354	X07730
1805_g_at	KLK3	kallikrein related peptidase 3	KLK3	354	X07730
1806_at	MCF2	MCF.2 cell line derived transforming sequence	MCF2	4168	X12556
1807_g_at	MCF2	MCF.2 cell line derived transforming sequence	MCF2	4168	X12556
1808_s_at	FAS	Fas cell surface death receptor	FAS	355	X89101
1809_at	CDC7	cell division cycle 7	CDC7	8317	AB003698
180_at	MBOAT7	membrane bound O-acyltransferase domain containing 7	MBOAT7	79143	S82470
1810_s_at	PRKCD	protein kinase C delta	PRKCD	5580	D10495
1811_at	PTPRH	protein tyrosine phosphatase, receptor type H	PTPRH	5794	D15049
1812_s_at	MET	MET proto-oncogene, receptor tyrosine kinase	MET	4233	
1813_at	RHBDF1	rhomboid 5 homolog 1	RHBDF1	64285	
1814_at	TGFBR2	transforming growth factor beta receptor 2	TGFBR2	7048	D50683
1815_g_at	TGFBR2	transforming growth factor beta receptor 2	TGFBR2	7048	D50683
1816_at	RASA2	RAS p21 protein activator 2	RASA2	5922	D78156
1817_at	PFDN5	prefoldin subunit 5	PFDN5	5204	D89667
1818_at	RHOQ	ras homolog family member Q	RHOQ	23433	
1819_at	RAP2A	RAP2A, member of RAS oncogene family	RAP2A	5911	
181_g_at	MBOAT7	membrane bound O-acyltransferase domain containing 7	MBOAT7	79143	S82470
1820_g_at	RAP2B	RAP2B, member of RAS oncogene family///RAP2A, member of RAS oncogene family	RAP2B///RAP2A	5912///5911	
1821_at	RAP2B	RAP2B, member of RAS oncogene family	RAP2B	5912	
1822_at	RET	ret proto-oncogene	RET	5979	
1823_g_at	RET	ret proto-oncogene	RET	5979	
1824_s_at	PCNA	proliferating cell nuclear antigen	PCNA	5111	J05614
1825_at	IQGAP1	IQ motif containing GTPase activating protein 1	IQGAP1	8826	L33075
1826_at	RHOB	ras homolog family member B	RHOB	388	M12174
1827_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	MYC	4609	M13929
1828_s_at	FGF2	fibroblast growth factor 2	FGF2	2247	M27968
182_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	ITPR3	3710	U01062
1830_s_at	TGFB1	transforming growth factor beta 1	TGFB1	7040	M38449
1831_at	BMP5	bone morphogenetic protein 5	BMP5	653	M60314
1832_at	MCC	mutated in colorectal cancers	MCC	4163	M62397
1833_at	CDK2	cyclin dependent kinase 2	CDK2	1017	M68520
1834_at	GPR176	G protein-coupled receptor 176	GPR176	11245	D38449
1836_at	CCNI	cyclin I	CCNI	10983	D50310
1837_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	RRAS2	22800	
1838_g_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	RRAS2	22800	
1839_at	RAN	RAN, member RAS oncogene family	RAN	5901	
183_at	MAP2	microtubule associated protein 2	MAP2	4133	U01828
1840_g_at	RAN	RAN, member RAS oncogene family	RAN	5901	
1841_s_at	MYCNOS	MYCN opposite strand	MYCNOS	10408	
1842_at	DDIT3	DNA damage inducible transcript 3	DDIT3	1649	
1843_at	TRIM27	tripartite motif containing 27	TRIM27	5987	
1844_s_at	MAP2K1	mitogen-activated protein kinase kinase 1	MAP2K1	5604	L05624
1845_at	MAP2K4	mitogen-activated protein kinase kinase 4	MAP2K4	6416	L36870
1846_at	LGALS8	galectin 8	LGALS8	3964	L78132
1847_s_at	BCL2	BCL2, apoptosis regulator	BCL2	596	M13994
1848_at	RAP1A	RAP1A, member of RAS oncogene family	RAP1A	5906	M22995
1849_s_at	ARID4A	AT-rich interaction domain 4A	ARID4A	5926	S57153
184_at	APLNR	apelin receptor	APLNR	187	U03642
1850_at	MLH1	mutL homolog 1	MLH1	4292	U07418
1851_s_at	FASLG	Fas ligand	FASLG	356	U11821
1852_at	TNF	tumor necrosis factor	TNF	7124	X02910
1853_at	WNT1	Wnt family member 1	WNT1	7471	X03072
1854_at	MYBL2	MYB proto-oncogene like 2	MYBL2	4605	X13293
1855_at	FGF3	fibroblast growth factor 3	FGF3	2248	X14445
1856_at	REL	REL proto-oncogene, NF-kB subunit	REL	5966	X75042
1857_at	SMAD7	SMAD family member 7	SMAD7	4092	AF010193
1858_at	FASLG	Fas ligand	FASLG	356	D38122
1859_s_at	MDM2	MDM2 proto-oncogene	MDM2	4193	U33203
185_at	NOVA1	NOVA alternative splicing regulator 1	NOVA1	4857	U04840
1860_at	TP53BP2	tumor protein p53 binding protein 2	TP53BP2	7159	U58334
1861_at	BAD	BCL2 associated agonist of cell death	BAD	572	U66879
1862_at	ATM	ATM serine/threonine kinase	ATM	472	U67092
1863_s_at	NPAT	nuclear protein, coactivator of histone transcription///ATM serine/threonine kinase	NPAT///ATM	4863///472	U67092
1865_at	SKIL	SKI-like proto-oncogene	SKIL	6498	X15217
1866_g_at	SKIL	SKI-like proto-oncogene	SKIL	6498	X15217
1867_at	CFLAR	CASP8 and FADD like apoptosis regulator	CFLAR	8837	AF005775
1868_g_at	CFLAR	CASP8 and FADD like apoptosis regulator	CFLAR	8837	AF005775
1869_at	TERT	telomerase reverse transcriptase	TERT	7015	AF015950
186_at	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	PRKAA2	5563	U06454
1870_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	PTPN11	5781	D13540
1871_g_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	PTPN11	5781	D13540
1872_at	RAD51	RAD51 recombinase	RAD51	5888	D14134
1873_at	XPC	XPC complex subunit, DNA damage recognition and repair factor	XPC	7508	D21089
1874_at	RAD23B	RAD23 homolog B, nucleotide excision repair protein	RAD23B	5887	D21090
1875_f_at	PMS2P3	PMS1 homolog 2, mismatch repair system component pseudogene 3	PMS2P3	5387	D38498
1876_at	RALA	RALA Ras like proto-oncogene A	RALA	5898	
1877_g_at	RALA	RALA Ras like proto-oncogene A	RALA	5898	
1878_g_at	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	ERCC1	2067	M13194
1879_at	RRAS	related RAS viral (r-ras) oncogene homolog	RRAS	6237	
187_at	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	MAP4K2	5871	U07349
1880_at	MDM2	MDM2 proto-oncogene	MDM2	4193	M92424
1881_at	MECOM	MDS1 and EVI1 complex locus	MECOM	2122	
1882_g_at	MECOM	MDS1 and EVI1 complex locus	MECOM	2122	
1883_s_at	AFF1	AF4/FMR2 family member 1	AFF1	4299	
1884_s_at	PCNA	proliferating cell nuclear antigen	PCNA	5111	M15796
1885_at	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	2071	M31899
1886_at	WNT7A	Wnt family member 7A	WNT7A	7476	U53476
1887_g_at	WNT7A	Wnt family member 7A	WNT7A	7476	U53476
1888_s_at	KIT	KIT proto-oncogene receptor tyrosine kinase	KIT	3815	X06182
188_at	EFNB1	ephrin B1	EFNB1	1947	U09303
1890_at	GDF15	growth differentiation factor 15	GDF15	9518	AB000584
1891_at	MAP3K8	mitogen-activated protein kinase kinase kinase 8	MAP3K8	1326	D14497
1892_s_at	NTRK1	neurotrophic receptor tyrosine kinase 1	NTRK1	4914	
1893_s_at	ESR1	estrogen receptor 1	ESR1	2099	
1894_f_at	NF2	neurofibromin 2	NF2	4771	
1895_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	JUN	3725	J04111
1896_s_at	ABCC1	ATP binding cassette subfamily C member 1	ABCC1	4363	L05628
1897_at	TGFBR3	transforming growth factor beta receptor 3	TGFBR3	7049	L07594
1898_at	TRIM29	tripartite motif containing 29	TRIM29	23650	L24203
1899_s_at	RAD52	RAD52 homolog, DNA repair protein	RAD52	5893	L33262
189_s_at	PLAUR	plasminogen activator, urokinase receptor	PLAUR	5329	AH005413
1900_at	RB1	RB transcriptional corepressor 1	RB1	5925	L41870
1901_s_at	ERBB2	erb-b2 receptor tyrosine kinase 2	ERBB2	2064	M12036
1902_at	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	ERCC1	2067	M13194
1903_at	RAP1B	RAP1B, member of RAS oncogene family	RAP1B	5908	
1904_at	MYCBP	MYC binding protein	MYCBP	26292	D50692
1905_s_at	RB1	RB transcriptional corepressor 1	RB1	5925	
1906_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	MAPKAP1	79109	
1907_at	RBL1	RB transcriptional corepressor like 1	RBL1	5933	L14812
1908_at	ETV3	ETS variant 3	ETV3	2117	L16464
1909_at	BCL2	BCL2, apoptosis regulator	BCL2	596	M14745
190_at	NR4A3	nuclear receptor subfamily 4 group A member 3	NR4A3	8013	U12767
1910_s_at	BCL2	BCL2, apoptosis regulator	BCL2	596	M14745
1911_s_at	GADD45A	growth arrest and DNA damage inducible alpha	GADD45A	1647	M60974
1912_s_at	APC	APC, WNT signaling pathway regulator	APC	324	M74088
1913_at	CCNG2	cyclin G2	CCNG2	901	U47414
1914_at	CCNA1	cyclin A1	CCNA1	8900	U66838
1915_s_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	FOS	2353	
1916_s_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	FOS	2353	
1917_at	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	RAF1	5894	X03484
1918_at	SKI	SKI proto-oncogene	SKI	6497	X15218
1919_at	VAV1	vav guanine nucleotide exchange factor 1	VAV1	7409	X16316
191_at	MUC8	mucin 8	MUC8	100129528	U14383
1920_s_at	CCNG1	cyclin G1	CCNG1	900	X77794
1921_at	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	RASGRF1	5923	
1922_g_at	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	RASGRF1	5923	
1923_at	CCNC	cyclin C	CCNC	892	M74091
1924_at	CCNH	cyclin H	CCNH	902	U11791
1925_at	CCNF	cyclin F	CCNF	899	Z36714
1926_at	VEGFB	vascular endothelial growth factor B	VEGFB	7423	U48801
1927_s_at	ACVRL1	activin A receptor like type 1	ACVRL1	94	AH005451
1928_s_at	SMAD2	SMAD family member 2	SMAD2	4087	AH006488
1929_at	ANGPT1	angiopoietin 1	ANGPT1	284	U83508
192_at	TAF7	TATA-box binding protein associated factor 7	TAF7	6879	U18062
1930_at	ABCC3	ATP binding cassette subfamily C member 3	ABCC3	8714	U83659
1931_at	ABCC4	ATP binding cassette subfamily C member 4	ABCC4	10257	U83660
1932_at	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	10057	U83661
1933_g_at	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	10057	U83661
1934_s_at	VEGFC	vascular endothelial growth factor C	VEGFC	7424	X94216
1935_at	MDM4	MDM4, p53 regulator	MDM4	4194	AF007111
1936_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	MYC	4609	
1937_at	TIGR: HG4036-HT4306				
1938_at	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	SRC	6714	AH002989
1939_at	TP53	tumor protein p53	TP53	7157	M22898
193_at	AK6	adenylate kinase 6///TATA-box binding protein associated factor 9	AK6///TAF9	102157402///6880	U21858
1940_at	KRAS	KRAS proto-oncogene, GTPase	KRAS	3845	M54968
1941_at	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase	SKP2	6502	U33761
1942_s_at	CDK4	cyclin dependent kinase 4	CDK4	1019	U37022
1943_at	CCNA2	cyclin A2	CCNA2	890	X51688
1944_f_at	MLH1	mutL homolog 1	MLH1	4292	AF001359
1945_at	CCNB1	cyclin B1	CCNB1	891	M25753
1946_at	WT1-AS	WT1 antisense RNA	WT1-AS	51352	M60614
1947_g_at	WT1-AS	WT1 antisense RNA	WT1-AS	51352	M60614
1948_f_at	NOS2	nitric oxide synthase 2	NOS2	4843	U31511
1949_at	1949_at				
194_at	CATR1	CATR tumorigenicity conversion 1	CATR1	856	U25433
1950_s_at	SMAD3	SMAD family member 3	SMAD3	4088	AB004930
1951_at	ANGPT2	angiopoietin 2	ANGPT2	285	AF004327
1952_s_at	SMAD5	SMAD family member 5	SMAD5	4090	AH005750
1953_at	VEGFA	vascular endothelial growth factor A	VEGFA	7422	AF024710
1954_at	KDR	kinase insert domain receptor	KDR	3791	AF035121
1955_s_at	SMAD6	SMAD family member 6	SMAD6	4091	AF035528
1956_s_at	AF049656				AF049656
1957_s_at	TGFBR1	transforming growth factor beta receptor 1	TGFBR1	7046	AH006005
1958_at	PIR-FIGF	PIR-FIGF readthrough///c-fos induced growth factor	PIR-FIGF///FIGF	100532742///2277	AJ000185
1959_at	AZIN1	antizyme inhibitor 1	AZIN1	51582	D88674
195_s_at	CASP4	caspase 4	CASP4	837	U28014
1960_at	L22967				L22967
1961_f_at	NOS3	nitric oxide synthase 3	NOS3	4846	L23210
1962_at	ARG1	arginase 1	ARG1	383	M14502
1963_at	FLT1	fms related tyrosine kinase 1	FLT1	2321	U01134
1964_g_at	FLT1	fms related tyrosine kinase 1	FLT1	2321	U01134
1965_s_at	NOS1	nitric oxide synthase 1	NOS1	4842	AH005382
1966_i_at	U18334				AH006623
1967_f_at	U18334				AH006623
1968_g_at	FIP1L1	factor interacting with PAPOLA and CPSF1///platelet derived growth factor receptor alpha	FIP1L1///PDGFRA	81608///5156	X76079
1969_s_at	CDK7	cyclin dependent kinase 7	CDK7	1022	X77743
196_s_at	CASP5	caspase 5	CASP5	838	U28015
1970_s_at	FGFR2	fibroblast growth factor receptor 2	FGFR2	2263	Z71929
1971_g_at	FHIT	fragile histidine triad	FHIT	2272	U46922
1972_s_at	MAP2	microtubule associated protein 2	MAP2	4133	U89330
1973_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	MYC	4609	V00568
1974_s_at	TP53	tumor protein p53	TP53	7157	X02469
1975_s_at	IGF1	insulin like growth factor 1	IGF1	3479	X03563
1976_s_at	FES	FES proto-oncogene, tyrosine kinase	FES	2242	X06292
1977_s_at	ETS1	ETS proto-oncogene 1, transcription factor	ETS1	2113	X14798
1978_at	ITGA2	integrin subunit alpha 2	ITGA2	3673	X17033
1979_s_at	NOP2	NOP2 nucleolar protein	NOP2	4839	X55504
197_at	NME3	NME/NM23 nucleoside diphosphate kinase 3	NME3	4832	U29656
1980_s_at	NME1-NME2	NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 2	NME1-NME2///NME2	654364///4831	X58965
1981_s_at	MAX	MYC associated factor X	MAX	4149	X60287
1983_at	CCND2	cyclin D2	CCND2	894	X68452
1984_s_at	ARHGDIB	Rho GDP dissociation inhibitor beta	ARHGDIB	397	X69549
1985_s_at	NME1	NME/NM23 nucleoside diphosphate kinase 1	NME1	4830	X73066
1986_at	RBL2	RB transcriptional corepressor like 2	RBL2	5934	X74594
1987_at	PDGFRA	platelet derived growth factor receptor alpha	PDGFRA	5156	X76079
1988_at	PDGFRA	platelet derived growth factor receptor alpha	PDGFRA	5156	X76079
1989_at	BRCA2	BRCA2, DNA repair associated	BRCA2	675	U43746
198_g_at	NME3	NME/NM23 nucleoside diphosphate kinase 3	NME3	4832	U29656
1990_g_at	BRCA2	BRCA2, DNA repair associated	BRCA2	675	U43746
1991_s_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK3	7867	U43784
1992_at	FHIT	fragile histidine triad	FHIT	2272	U46922
1993_s_at	BRCA1	BRCA1, DNA repair associated	BRCA1	672	U14680
1994_at	ATF2	activating transcription factor 2	ATF2	1386	U16028
1995_at	XPA	XPA, DNA damage recognition and repair factor	XPA	7507	U16815
1996_s_at	CCNF	cyclin F	CCNF	899	U17105
1997_s_at	BAX	BCL2 associated X, apoptosis regulator	BAX	581	U19599
1998_i_at	BAX	BCL2 associated X, apoptosis regulator	BAX	581	U19599
1999_s_at	MAPK14	mitogen-activated protein kinase 14	MAPK14	1432	U19775
199_s_at	PKN2	protein kinase N2	PKN2	5586	U33052
2000_at	ATM	ATM serine/threonine kinase	ATM	472	U26455
2001_g_at	ATM	ATM serine/threonine kinase	ATM	472	U26455
2002_s_at	BCL2A1	BCL2 related protein A1	BCL2A1	597	U27467
2003_s_at	MSH6	mutS homolog 6	MSH6	2956	U28946
2004_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1	MAP3K1	4214	U29671
2005_s_at	JAK3	Janus kinase 3	JAK3	3718	U31317
2006_at	JAK3	Janus kinase 3	JAK3	3718	U31601
2007_g_at	JAK3	Janus kinase 3	JAK3	3718	U31601
2008_s_at	MDM2	MDM2 proto-oncogene	MDM2	4193	U33199
2009_at	PTK2B	protein tyrosine kinase 2 beta	PTK2B	2185	U33284
200_at	BMP5	bone morphogenetic protein 5	BMP5	653	S81957
2010_at	SKP1	S-phase kinase-associated protein 1	SKP1	6500	U33760
2011_s_at	BIK	BCL2 interacting killer	BIK	638	U34584
2012_s_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	PRKDC	5591	U34994
2013_at	TFDP2	transcription factor Dp-2	TFDP2	7029	U35117
2014_s_at	MAP2K6	mitogen-activated protein kinase kinase 6	MAP2K6	5608	U39064
2015_s_at	PMS2CL	PMS2 C-terminal like pseudogene///PMS1 homolog 2, mismatch repair system component	PMS2CL///PMS2	441194///5395	U14658
2016_s_at	SNORA70	small nucleolar RNA, H/ACA box 70///ribosomal protein L10///eukaryotic translation elongation factor 1 alpha 1	SNORA70///RPL10///EEF1A1	26778///6134///1915	M64241
2017_s_at	CCND1	cyclin D1	CCND1	595	M64349
2018_at	GJA1	gap junction protein alpha 1	GJA1	2697	M65188
2019_s_at	ITGB7	integrin subunit beta 7	ITGB7	3695	M68892
201_s_at	B2M	beta-2-microglobulin	B2M	567	S82297
2020_at	CCND1	cyclin D1	CCND1	595	M73554
2021_s_at	CCNE1	cyclin E1	CCNE1	898	M73812
2022_at	AKT2	AKT serine/threonine kinase 2	AKT2	208	M77198
2023_g_at	AKT2	AKT serine/threonine kinase 2	AKT2	208	M77198
2024_s_at	LYN	LYN proto-oncogene, Src family tyrosine kinase	LYN	4067	M79321
2025_s_at	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1	328	M80261
2026_at	LOC101928269	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1	LOC101928269///LOC100506403///RUNX1	101928269///100506403///861	D10570
2027_at	S100A2	S100 calcium binding protein A2	S100A2	6273	M87068
2028_s_at	E2F1	E2F transcription factor 1	E2F1	1869	M96577
2029_at	ARHGAP5	Rho GTPase activating protein 5	ARHGAP5	394	
202_at	HSF2	heat shock transcription factor 2	HSF2	3298	M65217
2030_at	WNT11	Wnt family member 11	WNT11	7481	
2031_s_at	CDKN1A	cyclin dependent kinase inhibitor 1A	CDKN1A	1026	U03106
2032_s_at	ITGAV	integrin subunit alpha V	ITGAV	3685	U07375
2033_s_at	WEE1	WEE1 G2 checkpoint kinase	WEE1	7465	U10564
2034_s_at	CDKN1B	cyclin dependent kinase inhibitor 1B	CDKN1B	1027	U10906
2035_s_at	ENO1	enolase 1	ENO1	2023	M55914
2036_s_at	CD44	CD44 molecule (Indian blood group)	CD44	960	M59040
2037_s_at	RPS6KB1	ribosomal protein S6 kinase B1	RPS6KB1	6198	M60725
2038_g_at	BCL2	BCL2, apoptosis regulator	BCL2	596	M13995
2039_s_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	FYN	2534	M14333
203_at	GATA2	GATA binding protein 2	GATA2	2624	M68891
2040_s_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	25	M14752
2041_i_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	25	M14752
2042_s_at	MYB	MYB proto-oncogene, transcription factor	MYB	4602	M15024
2043_s_at	BCR	BCR, RhoGEF and GTPase activating protein	BCR	613	M15025
2044_s_at	RB1	RB transcriptional corepressor 1	RB1	5925	M15400
2045_s_at	HCK	HCK proto-oncogene, Src family tyrosine kinase	HCK	3055	M16592
2046_at	ERG	ERG, ETS transcription factor	ERG	2078	AH001456
2047_s_at	JUP	junction plakoglobin	JUP	3728	M23410
2048_s_at	THRB	thyroid hormone receptor beta	THRB	7068	M26747
2049_s_at	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	JUNB	3726	M29039
204_at	HOXA4	homeobox A4	HOXA4	3201	M74297
2050_s_at	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	RAC1	5879	M29870
2051_at	MGMT	O-6-methylguanine-DNA methyltransferase	MGMT	4255	M31767
2052_g_at	MGMT	O-6-methylguanine-DNA methyltransferase	MGMT	4255	M31767
2053_at	CDH2	cadherin 2	CDH2	1000	M34064
2054_g_at	CDH2	cadherin 2	CDH2	1000	M34064
2055_s_at	ITGB1	integrin subunit beta 1	ITGB1	3688	M34189
